,序号,标题,最后更新,emotion_sentiment,stock,separated
0,4135,又是没人参与竞价，完犊子了,2020年4月10日,0,688001,没人 参与 竞价 完 犊子
1,7344,这个票应该有机构慢慢吸筹,2019年11月14日,2,688001,票 应该 机构 慢慢 吸筹
2,11123,我中二签今天一股也没走，管它呢。,2019年7月22日,0,688001,中二签 今天 一股 没 走 管它
3,6682,部分科创板个股走强 华兴源创、卓易信息涨超10%,2019年12月10日,0,688001,部分 科创板 个股 走强 涨超
4,11174,明天也许会断崖式踩踏！,2019年7月22日,0,688001,明天 也许 会 断崖 式 踩踏
5,6442,一个良好的心态比什么都重要，既然看好了，就不动摇！坚决看好、没有上上下下的调整就,2019年12月11日,0,688001,一个 良好 心态 都 重要 看好 动摇 坚决 看好 没有 上上下下 调整
6,9419,忠言：精彩表演在最后10分钟大跳水,2019年8月8日,2,688001,忠言 精彩表演 最后 分钟 大跳水
7,1072,华兴源创：融资余额5706.01万元，创近一年新低（03-18）,2021年3月19日,2,688001,融资 余额 万元 创近 一年 新低
8,13193,但愿中一签[成交][拜神][拜神][拜神],2019年6月20日,2,688001,但愿 中一签 成交 拜神 拜神 拜神
9,11025,今天直接高开100,2019年7月23日,2,688001,今天 直接 高开
10,1052,华兴源创(688001)融资融券信息(03-30),2021年3月31日,2,688001,融资 融券 信息
11,5454,59.98...主力…加油……昨天是最好的数字！49.98..[拜神][拜神],2020年1月17日,2,688001,主力 加油 昨天 最好 数字 拜神 拜神
12,9147,很好，收盘收在全天最高价，明天继续[牛],2019年8月13日,2,688001,收盘 收 全天 最高价 明天 继续 牛
13,12245,有没有37701 15中签的？,2019年6月29日,0,688001,有没有 中签
14,9977,下午跌停,2019年8月2日,0,688001,下午 跌停
15,6118,科创板第二十一周交易大复盘：新鲜事有趣事创纪录的事一应俱全,2019年12月15日,2,688001,科创板 第二十一 周 交易 复盘 新鲜事 有趣 事 创纪录 事 一应俱全
16,12541,科创板第一股，保佑能中一签啊。[拜神],2019年6月28日,2,688001,科创板 第一股 保佑 中 一签 拜神
17,472,此股第一目标价76元左右,2021年7月29日,0,688001,此股 第一 目标价 元 左右
18,775,华兴源创(688001)融资融券信息(06-01),2021年6月2日,2,688001,融资 融券 信息
19,5530,等风来,2020年1月16日,2,688001,风来
20,1995,华兴源创：主力资金连续3天净流出累计761.64万元（10-14）,2020年10月14日,2,688001,主力 资金 连续 天净 流出 累计 万元
21,7348,各位注意，这家公司是个家族企业。今年A股走出了美股的样子。虽然指数并没有涨多少，,2019年11月14日,0,688001,注意 这家 公司 家族企业 今年 股 走出 美股 样子 指数 没有 涨
22,4061,这么高的股价分红0.135，也好意思，一看就小猫放屁不成大气的样,2020年4月17日,0,688001,高 股价 分红 好意思 一看 小猫 放屁 大气 样
23,8122,一阳穿三线，今天必定大涨！不涨主播吃翔了,2019年9月25日,2,688001,一阳 穿 三线 今天 必定 大涨 不涨 主播 吃翔
24,12575,3208,2019年6月28日,2,688001,
